label,g,t,latents
kingoftone,2,5,"[0.7821329236030579, 0.7890991568565369, 0.9408578276634216, 0.7756490707397461, -0.9742222428321838, 0.8563172817230225, 0.5645729303359985, 0.9526618123054504]"
fuzz,3,1,"[-0.965241551399231, -0.9702553153038025, -0.6214207410812378, -0.7649533748626709, -0.9363062381744385, 0.6628126502037048, -0.8406354188919067, 0.7581593990325928]"
fuzz,5,5,"[-0.8703262805938721, -0.8573896884918213, 0.1964295208454132, 0.7407071590423584, -0.9770294427871704, 0.9284009337425232, -0.14134657382965088, 0.8024230599403381]"
riot,2,5,"[-0.9458698630332947, 0.9783788919448853, 0.5640214681625366, -0.975441575050354, 0.9492416977882385, 0.9863350987434387, 0.9119358062744141, -0.8910843133926392]"
riot,5,1,"[0.9062195420265198, 0.8908236026763916, -0.5283169746398926, 0.642156720161438, 0.9247267246246338, 0.9417263269424438, 0.7974532246589661, 0.9278351664543152]"
fuzz,4,3,"[-0.9920036792755127, -0.8782162666320801, 0.9186985492706299, -0.7206408381462097, -0.9005881547927856, 0.9124324917793274, 0.7341344356536865, 0.2971402108669281]"
kingoftone,2,2,"[0.39424487948417664, 0.7930988669395447, 0.7972302436828613, 0.6959415674209595, -0.9613621830940247, 0.9316307902336121, -0.3173076808452606, 0.8658865690231323]"
fuzz,0,3,"[0.25028902292251587, 0.0015878620324656367, -0.6198357343673706, 0.8792616128921509, -0.9168650507926941, 0.7872764468193054, -0.9170745611190796, 0.9307008981704712]"
riot,2,2,"[-0.9769474864006042, 0.8625314235687256, 0.9087814092636108, -0.8327096104621887, 0.9588263034820557, 0.981938898563385, 0.4696948528289795, 0.3570319414138794]"
kingoftone,5,1,"[0.9392562508583069, -0.9495877623558044, -0.8114928603172302, 0.8941830396652222, -0.9855263233184814, -0.48673146963119507, 0.9224799871444702, 0.9326632618904114]"
fuzz,4,2,"[-0.9954459071159363, -0.9457176923751831, 0.9461711645126343, -0.9051416516304016, -0.8779585361480713, 0.7915689945220947, 0.909766674041748, 0.13240265846252441]"
fuzz,5,0,"[-0.85660719871521, -0.9688767194747925, -0.9072763919830322, -0.9958186149597168, -0.994686484336853, -0.8915745615959167, 0.7629626989364624, -0.9244182705879211]"
kingoftone,2,3,"[0.6233477592468262, 0.6563414335250854, 0.863023042678833, 0.7834987640380859, -0.9774380922317505, 0.9025958180427551, 0.05936195328831673, 0.9382686018943787]"
kingoftone,5,5,"[0.9935236573219299, -0.9738103151321411, -0.9844707250595093, -0.9761239290237427, -0.9868204593658447, -0.993971586227417, 0.9968212246894836, 0.9862062931060791]"
riot,0,4,"[0.6303907632827759, 0.9619285464286804, -0.6242728233337402, 0.8886990547180176, 0.9626981616020203, 0.975769579410553, -0.9874202609062195, -0.21853668987751007]"
kingoftone,5,4,"[0.9854258894920349, -0.9483247399330139, -0.9589378833770752, -0.8649713397026062, -0.985157310962677, -0.9853735566139221, 0.9931719303131104, 0.9676496982574463]"
kingoftone,4,5,"[0.9867433905601501, -0.434144526720047, 0.9800127744674683, 0.383443683385849, -0.9814906716346741, -0.9304968118667603, 0.9861403107643127, 0.9444753527641296]"
fuzz,4,5,"[-0.9509852528572083, -0.43210986256599426, 0.7654440999031067, 0.5611105561256409, -0.926863431930542, 0.9707653522491455, -0.4247685372829437, 0.6954583525657654]"
kingoftone,0,0,"[-0.3366797864437103, 0.8590661883354187, 0.7495728731155396, 0.21917973458766937, -0.8446423411369324, 0.9013315439224243, -0.31625881791114807, 0.6615608930587769]"
riot,0,0,"[0.33081260323524475, 0.7804994583129883, -0.5147165656089783, 0.8977232575416565, 0.9297372698783875, 0.9843870997428894, -0.9342181086540222, 0.7844712734222412]"
kingoftone,4,1,"[0.9492184519767761, -0.8522326350212097, 0.4734390377998352, 0.952997624874115, -0.9867199063301086, 0.6541726589202881, 0.653608500957489, 0.9670302867889404]"
riot,5,4,"[0.9530530571937561, 0.9668077826499939, -0.9222277402877808, -0.5712119340896606, 0.9809850454330444, 0.7485290765762329, 0.9598985314369202, 0.8600173592567444]"
riot,1,3,"[-0.9669227600097656, 0.9691678285598755, 0.17180316150188446, -0.6384369134902954, 0.9808012843132019, 0.9681238532066345, -0.9647687673568726, -0.2369796484708786]"
kingoftone,2,0,"[0.27050065994262695, 0.829389214515686, 0.7616405487060547, 0.6405016183853149, -0.921147882938385, 0.9474494457244873, -0.3881692588329315, 0.8949462175369263]"
kingoftone,1,2,"[-0.12422157824039459, 0.8760899305343628, 0.7258484959602356, 0.4521867632865906, -0.9238695502281189, 0.9387750029563904, -0.2905946373939514, 0.7768632173538208]"
riot,3,0,"[0.18967758119106293, 0.878903865814209, 0.7008938789367676, -0.24632008373737335, 0.9135028719902039, 0.9798721075057983, 0.8703650832176208, 0.8178025484085083]"
kingoftone,1,0,"[-0.2374616116285324, 0.8521518111228943, 0.7099421620368958, 0.3390689492225647, -0.8739713430404663, 0.9464092254638672, -0.3056451082229614, 0.8267143964767456]"
fuzz,2,5,"[-0.5302335023880005, 0.26443666219711304, -0.08099707961082458, 0.8237254619598389, -0.8989604115486145, 0.9155211448669434, -0.9310604333877563, 0.8852564692497253]"
fuzz,0,2,"[0.32523074746131897, -0.2647712826728821, -0.6521594524383545, 0.8980405330657959, -0.936879575252533, 0.6950535774230957, -0.9422457814216614, 0.9300141930580139]"
riot,4,5,"[0.8960903286933899, 0.9641081094741821, -0.6514524221420288, -0.8678264021873474, 0.9856488704681396, 0.8602904081344604, 0.9799697399139404, -0.03844328969717026]"
riot,1,5,"[-0.9849758148193359, 0.9922431707382202, -0.3286244869232178, -0.9373236894607544, 0.9845488667488098, 0.9405325055122375, -0.9677135348320007, -0.9293398857116699]"
riot,2,4,"[-0.7894220352172852, 0.9381051659584045, 0.8776426911354065, -0.8911216259002686, 0.9744619131088257, 0.982286274433136, 0.9155700206756592, -0.3301439583301544]"
kingoftone,3,2,"[0.8485842943191528, 0.2007347196340561, 0.8666695356369019, 0.9156336188316345, -0.9806441068649292, 0.8889444470405579, 0.041217345744371414, 0.96677565574646]"
riot,3,1,"[0.039362624287605286, 0.8972630500793457, 0.8057082891464233, -0.3584633767604828, 0.9176617860794067, 0.9822440147399902, 0.865393340587616, 0.7793197631835938]"
kingoftone,3,4,"[0.941857099533081, 0.39694052934646606, 0.9428155422210693, 0.8726544380187988, -0.9813318252563477, 0.7299498319625854, 0.7604091167449951, 0.9583011865615845]"
fuzz,4,4,"[-0.9759221076965332, -0.6153483390808105, 0.8106686472892761, 0.059354957193136215, -0.9217313528060913, 0.9638403058052063, 0.012858569622039795, 0.5297783613204956]"
riot,5,2,"[0.9301958084106445, 0.9029831886291504, -0.6868969798088074, 0.3531332015991211, 0.9374572038650513, 0.9123280048370361, 0.8043802380561829, 0.916512668132782]"
riot,4,2,"[0.7042818069458008, 0.9399287700653076, 0.48946407437324524, -0.2439829707145691, 0.9554468393325806, 0.9807336330413818, 0.902303159236908, 0.8188735842704773]"
kingoftone,0,3,"[-0.12280410528182983, 0.8857960104942322, 0.6909734010696411, 0.4208919107913971, -0.9197503924369812, 0.900516152381897, -0.25859004259109497, 0.7986942529678345]"
